Price:,Brand,Name,Signature,Drivers: ,Release Year: 
5,TRN,MT1,V-Shape,1 DD,2021
8,QKZ,AK6 Pro,V-Shape,1 DD,2021
15,Moondrop,Quarks,V Shape,1 DD,2021
15,CCA ,CRA,V-Shape,1 DD,2022
15,Moondrop,Quarks 2,Harman,1 DD,2024
19,Truthears,Hola,Mild V-Shape,1 DD,2023
19,Truthears,Gate,V-Shape,1DD,2024
20,Moondrop,Chu,Bright,1 DD,2022
20,Moondrop,Chu 2 ,Harman,1 DD,2023
20,Kbear,Rosefinch,Bassy,1 DD,2022
20,KZ,ZVX,V-Shape,1 DD,2023
20,7hz,Zero,Neutral,1 DD,2022
20,Tangzu,Wan'er,Neutral + Bass Boost,1 DD,2022
25,KZ,ZSN Pro X,V-Shape,1 DD,2020
30,Blon,BL-03,V-Shape,1 DD,2019
39,Kiwi Ears,Cadenza,Neutral + Bass Boost,1 DD,2022
40,Moondrop,SSR,Bright,1 DD,2020
40,Tanchjim,Ola,Flat Neutral,1 DD,2022
50,KZ,ZS10 Pro,V-Shape,1 DD + 4 BA,2019
50,Truthears,Zero,Harman,2 DD,2022
55,Truthears,Zero: Red,Neutral + Bass Boost,2 DD,2023
80,Moondrop,Aria,Mild V-Shape,1 DD,2021
80,Moondrop ,Aria Snow,Mild V-Shape,1 DD,2022
80,Truthears,Hexa,Mild V-Shape,1DD + 3BA,2022
100,Fiio,FD3,V-Shape,1 DD,2021
100,Thieaudio,Legacy 2,Neutral,1 DD + 1 BA,2021
110,Dunu,Kima,Mild V-Shape,1DD,2022
110,Moondrop,Stellaris,Bright,1 Planar,2022
110,Letshuoer ,Galileo,Neutral + Bass Boost,1 DD + 1 BA,2023
110,Moondrop,Starfield,Mild V-Shape,1 DD,2020
120,Aful,Explorer,Warm/Dark,1DD + 2BA,2024
150,Fiio,FHE,Bassy,1DD + 2BA,2022
150,Truthears,Nova,Harman,1DD + 4BA,2023
150,Letshuoer ,S12,V-Shape,1 Planar,2022
170,See Audio,Yume,Neutral + Bass Boost,1DD + 2BA,2021
170,Myer Audio,CKLVX,U-Shape,1DD + 4BA,2024
170,Crinear,Daybreak,Meta,1DD + 2BA + 2 Planar,2025
189,Moondrop,Kato,Mild V-Shape,1DD,2021
200,Tangzu,Wu Zeitian (Heyday),V-Shape,1 Planar,2023
200,Binary Audio,Chopin,Harman,1DD + 4BA,2023
260,Tanchjim,Origin,Mild V-Shape,1DD,2024
280,Softears,Volume,Mild V-Shape,1DD + 2BA,2022
320,Softears,Volume S,Meta,2DD + 2BA,2025
330,Moondrop,Blessing 2 Dusk,Mild V-Shape,1DD + 4BA,2020
360,Moondrop,Dusk,Meta,2DD + 2BA + 2 Planar,2024
520,Moondrop,Variations,Harman,1DD + 2BA + 2 EST,2021
540,Thieaudio,Oracle,Neutral + Bass Boost,1DD + 2BA + 2 EST,2021
540,Xenns,Top,Harman,1DD + 8BA,2022
550,Dunu,SA6,Neutral + Bass Boost,6 BA,2020
700,Xenns,Up,Bassy,1DD + 4BA + 2EST,2021
1300,Unique Melody,Mest,Bright,1DD + 4BA + 2 EST + 1BC,2020
