Score,Price,Name,Signature,Bass,Mids,Treble:,Details,Other,Likes:,Dislikes:
4,540,Thieaudio Oracle,Neutral + Bass Boost,4,5,4,3,4,Natural Vocals,Instrumental Seperation
4,360,Moondrop Dusk,Meta,4,4,4,4,4,Lush Vocals,Upper-Treble
3.8,540,Xenns Top,Harman,4,4,4,4,3,Dynamics,Cramped Vocals
3.8,1300,Unique Melody Mest,Bright,4,4,3,5,3,Details,Treble Energy
3.8,520,Moondrop Variations,Harman,4,4,4,4,3,Female Vocals,Mid-Bass
3.6,320,Softears Volume S,Meta,4,4,3,4,3,Bass Quality,Cramped Vocals
3.6,260,Tanchjim Origin,Mild V-Shape,3,4,4,4,3,Nautral Vocals,Warmth
3.4,550,Dunu SA6,Neutral + Bass Boost,3,4,3,3,4,Natural Timbre,Treble Uneveness
3.4,330,Moondrop Blessing 2 Dusk,Mild V-Shape,3,4,4,4,2,All Rounder,Bass Dynamics
3.4,170,Crinear DayBreak,Meta,3,4,4,3,3,Treble,Details
3.2,280,Softears Volume,Mild V-Shape,3,4,3,3,3,Vocal Forward,Upper-Treble
3.2,200,Tangzu Wu Zeitian (Heyday),V-Shape,3,3,3,4,3,Details,Treble
3.4,200,Binary Audio Chopin,Harman,3,4,3,4,3,Balanced,Thin Vocals
3.2,189,Moondrop Kato,Mild V-Shape,3,3,3,3,4,Balanced,Details
3.2,170,Myer Audio CKLVX,U-Shape,3,3,3,4,3,Male Vocals,Upper-Treble
3.2,55,Truthears Zero: Red,Neutral + Bass Boost,3,4,3,3,3,Natural Vocals,Treble
3,700,Xenns Up,Bassy,4,2,3,3,3,Bass,Details
3,150,Letshuoer S12,V-Shape,3,3,3,4,2,Treble,Unnatural
3,120,Aful Explorer,Warm/Dark,3,3,3,3,3,Relaxed Upper Mids,Treble Extension
3,150,Truthears Nova,Harman,2,4,3,3,3,Female Vocals,Bass
3,80,Truthears Hexa,Mild V-Shape,3,3,4,3,2,Natural,Bass
2.8,110,Dunu Kima,Mild V-Shape,2,3,2,3,4,Accessories,Treble
2.8,50,Truthears Zero,Harman,3,3,3,3,2,Bass Quality,Treble
2.6,170,See Audio Yume,Neutral + Bass Boost,2,4,2,2,3,Natural Vocals,Details
2.6,150,Fiio FHE,Bassy,3,2,2,3,3,Bass,Unnatural
2.6,20,Moondrop Chu 2 ,Harman,2,3,3,2,3,Vocals,Details
2.6,20,Truthears Hola,Mild V-Shape,2,3,2,2,4,Accessories,Cramped Vocals
2.6,20,Tangzu Wan'er,Neutral + Bass Boost,3,3,3,2,2,Vocals,Accessories
2.4,110,Moondrop Stellaris,Bright,2,1,2,4,3,Details,Tuning
2.4,110,Letshuoer Galileo,Neutral + Bass Boost,2,3,2,2,3,Smooth Vocals,Treble Extension
2.4,110,Moondrop Starfield,Mild V-Shape,2,3,2,3,2,Balanced,Treble
2.4,80,Moondrop Aria,Mild V-Shape,2,3,2,3,2,Balanced,Treble
2.4,80,Moondrop Aria Snow,Mild V-Shape,2,3,2,3,2,Balanced,Treble
2.4,39,Kiwi Ears Cadenza,Neutral + Bass Boost,2,3,3,2,2,Treble,Details
2.4,20,Moondrop Chu,Bright,2,3,2,2,3,Vocals,Treble
2.4,20,Truthears Gate,V-Shape,2,2,2,2,4,Accessories,Treble
2.2,100,Thieaudio Legacy 2,Neutral,2,3,2,2,2,Female Vocals,Details
2.2,40,Moondrop SSR,Bright,1,2,2,3,3,Details,Too Shouty
2.2,20,KZ ZVX,V-Shape,2,3,2,2,2,Vocals,Details
2.2,20,7hz Zero,Neutral,2,3,2,2,2,Vocals,Bass
2.2,15,CCA CRA,V-Shape,3,2,2,2,2,Bass,Details
2.2,15,Moondrop Quarks 2,Harman,2,3,2,2,2,Natural Vocals,Details
2,100,Fiio FD3,V-Shape,2,2,2,2,2,Bass,Muddy Vocals
2,50,KZ ZS10 Pro,V-Shape,2,2,2,2,2,Fun Tuning,Everything Else
2,40,Tanchjim Ola,Flat Neutral,1,3,2,2,2,Female Vocals,Bass
2,30,Blon BL-03,V-Shape,3,1,2,2,2,Bass,Muddy Vocals
2,25,KZ ZSN Pro X,V-Shape,2,2,2,2,2,Fun Tuning,Everything Else
2,20,Kbear Rosefinch,Bassy,3,2,2,2,1,Bass,Everything Else
1.8,15,Moondrop Quarks,V Shape,2,2,2,2,1,Vocals,Blunt Bass
1.4,8,QKZ AK6 Pro,V-Shape,2,1,2,1,1,Bass,Everything Else
1.4,5,TRN MT1,V-Shape,2,2,1,1,1,Price,Everything Else
